brand,month,vader_score,textblob_score,n_reviews,confidence_flag,conflicting_signal
MGM Resorts,2022-02,0.29704396551724127,0.24411277375043539,116,high,False
MGM Resorts,2022-03,0.22006640625,0.1868906692717728,128,high,False
MGM Resorts,2022-04,0.20691714285714286,0.19682662614930788,105,high,False
MGM Resorts,2022-05,0.19965154639175262,0.12346148466292253,97,high,False
MGM Resorts,2022-06,0.258073786407767,0.20456117062785437,103,high,False
MGM Resorts,2022-07,0.22879062500000003,0.15059020463811723,128,high,False
MGM Resorts,2022-08,0.28737142857142856,0.2202327726836655,91,high,False
MGM Resorts,2022-09,0.09156785714285713,0.14108682281673351,56,high,False
MGM Resorts,2022-10,0.12879400000000002,0.07544532184085756,100,high,False
MGM Resorts,2022-11,0.29237843137254904,0.2112792755991285,51,high,False
MGM Resorts,2022-12,0.3774896551724139,0.31416246827884764,29,medium,False
MGM Resorts,2023-01,0.172104,0.23627101010101006,25,medium,False
MGM Resorts,2023-02,0.09075609756097561,0.12555380051133536,41,high,False
MGM Resorts,2023-03,0.243978,0.17498990425084177,50,high,False
MGM Resorts,2023-04,0.1335272727272727,0.2681385281385282,22,medium,False
MGM Resorts,2023-05,0.12703076923076922,0.07040355477855478,26,medium,False
MGM Resorts,2023-06,0.13549333333333333,0.19447972145699424,30,high,False
MGM Resorts,2023-07,0.2675709677419355,0.21286384389206972,31,high,False
MGM Resorts,2023-08,0.009110000000000002,0.0068898809523809555,20,medium,False
MGM Resorts,2023-09,0.16447916666666665,0.2099782357076482,48,high,False
MGM Resorts,2023-10,0.18647999999999998,0.2842120535714286,35,high,False
MGM Resorts,2023-11,-0.05044666666666666,0.06575073009001582,15,medium,True
MGM Resorts,2023-12,0.19049523809523813,0.15224074074074076,21,medium,False
MGM Resorts,2024-01,0.006704000000000003,0.1754810966810967,25,medium,False
MGM Resorts,2024-02,0.129475,0.20912732233044734,16,medium,False
MGM Resorts,2024-03,0.43207142857142866,0.23252012723111162,28,medium,False
MGM Resorts,2024-04,0.33759999999999996,0.32987938596491234,19,medium,False
MGM Resorts,2024-05,0.1838954545454545,0.1724573863636363,22,medium,False
MGM Resorts,2024-06,0.2965318181818182,0.2792387126762127,22,medium,False
MGM Resorts,2024-07,0.21025,0.24552083333333335,8,low,False
MGM Resorts,2024-08,0.2618913043478261,0.24755257554706925,23,medium,False
MGM Resorts,2024-09,0.2190285714285714,0.16626984126984126,21,medium,False
MGM Resorts,2024-10,0.19759411764705884,0.16454248366013075,17,medium,False
MGM Resorts,2024-11,0.43428799999999995,0.31884978354978355,25,medium,False
MGM Resorts,2024-12,0.18337037037037035,0.19748971193415635,27,medium,False
MGM Resorts,2025-01,0.27320555555555553,0.19994107744107742,18,medium,False
MGM Resorts,2025-02,0.15793333333333334,0.1148148148148148,9,low,False
MGM Resorts,2025-03,0.42261442307692304,0.17120110203146705,104,high,False
MGM Resorts,2025-04,-0.09410540540540542,0.04825521398199011,37,high,True
MGM Resorts,2025-05,0.1459560975609756,-0.006349978115773,41,high,True
MGM Resorts,2025-06,0.11669749999999998,-0.01791397378136101,40,high,True
MGM Resorts,2025-07,0.18359574468085105,0.06963946180552809,47,high,False
MGM Resorts,2025-08,0.18614375000000002,0.10319988473328723,48,high,False
MGM Resorts,2025-09,0.22184901960784312,0.1412149213978992,51,high,False
MGM Resorts,2025-10,0.1826872340425532,0.05730651779793948,47,high,False
MGM Resorts,2025-11,0.2886464788732394,0.10048069111641114,71,high,False
MGM Resorts,2025-12,0.34838749999999996,0.09478725628720942,72,high,False
MGM Resorts,2026-01,0.35762315789473687,0.12314314185883607,95,high,False
MGM Resorts,2026-02,0.5259796610169492,0.16804398676528115,118,high,False
MGM Resorts,2026-03,0.6073444444444445,0.2614814814814815,9,low,False
